database_type,database,dataset,action,time
CouchDB,ASOS_2022,covers,read,8.376867055892944
CouchDB,ASOS_2022,data,read,0.10609149932861328
CouchDB,ASOS_2022,data,update,1.446967363357544
CouchDB,ASOS_2022,grades,read,0.48198390007019043
CouchDB,ASOS_2022,products,read,0.020611047744750977
CouchDB,ASOS_2022,profiles,read,2.532186508178711
CouchDB,ASOS_2022,restaurant,read,4.199689149856567
CouchDB,ASOS_2022,students,read,0.32491469383239746
CouchDB,ASOS_2022,books,delete,0.06606173515319824
CouchDB,ASOS_2022,countries-small,delete,0.07415580749511719
CouchDB,ASOS_2022,covers,delete,0.05317831039428711
CouchDB,ASOS_2022,data,delete,0.0601496696472168
CouchDB,ASOS_2022,grades,delete,0.07370352745056152
CouchDB,ASOS_2022,products,delete,0.05557870864868164
CouchDB,ASOS_2022,profiles,delete,0.0625617504119873
CouchDB,ASOS_2022,restaurant,delete,0.09196019172668457
CouchDB,ASOS_2022,students,delete,0.07190108299255371
CouchDB,ASOS_2022,books,insert,8.737611055374146
CouchDB,ASOS_2022,countries-small,insert,5.5716636180877686
CouchDB,ASOS_2022,covers,insert,109.59035992622375
CouchDB,ASOS_2022,data,insert,1.169144868850708
CouchDB,ASOS_2022,grades,insert,6.182518243789673
CouchDB,ASOS_2022,products,insert,0.23956918716430664
CouchDB,ASOS_2022,profiles,insert,34.52784824371338
CouchDB,ASOS_2022,restaurant,insert,55.10119128227234
CouchDB,ASOS_2022,students,insert,4.0019824504852295
CouchDB,ASOS_2022,books,read,0.853600025177002
CouchDB,ASOS_2022,countries-small,read,0.6744608879089355
CouchDB,ASOS_2022,covers,read,8.309818983078003
CouchDB,ASOS_2022,data,read,0.0995638370513916
CouchDB,ASOS_2022,data,update,1.1490907669067383
CouchDB,ASOS_2022,grades,read,0.45966219902038574
CouchDB,ASOS_2022,products,read,0.020754337310791016
CouchDB,ASOS_2022,profiles,read,2.4488790035247803
CouchDB,ASOS_2022,restaurant,read,4.19171404838562
CouchDB,ASOS_2022,students,read,0.31969356536865234
CouchDB,ASOS_2022,books,delete,0.06403350830078125
CouchDB,ASOS_2022,countries-small,delete,0.05266427993774414
CouchDB,ASOS_2022,covers,delete,0.05182170867919922
CouchDB,ASOS_2022,data,delete,0.055243730545043945
CouchDB,ASOS_2022,grades,delete,0.05207514762878418
CouchDB,ASOS_2022,products,delete,0.048209190368652344
CouchDB,ASOS_2022,profiles,delete,0.05314230918884277
CouchDB,ASOS_2022,restaurant,delete,0.06517481803894043
CouchDB,ASOS_2022,students,delete,0.07416033744812012
CouchDB,ASOS_2022,books,insert,8.343733787536621
CouchDB,ASOS_2022,countries-small,insert,5.42768406867981
CouchDB,ASOS_2022,covers,insert,111.78830599784851
CouchDB,ASOS_2022,data,insert,1.6198766231536865
CouchDB,ASOS_2022,grades,insert,6.014205694198608
CouchDB,ASOS_2022,products,insert,0.23137688636779785
CouchDB,ASOS_2022,profiles,insert,33.18133521080017
CouchDB,ASOS_2022,restaurant,insert,55.8941171169281
CouchDB,ASOS_2022,students,insert,4.0260443687438965
CouchDB,ASOS_2022,books,read,1.1912436485290527
CouchDB,ASOS_2022,countries-small,read,0.718071460723877
CouchDB,ASOS_2022,covers,read,8.475543975830078
CouchDB,ASOS_2022,data,read,0.09714484214782715
CouchDB,ASOS_2022,data,update,1.1815581321716309
